Iteration,Error,Func Calls
0,2.5545302895052937,7
1,9.307428174455953,9
2,8.062271367526314,15
3,6.293917790808174,20
4,5.110847643541205,26
5,0.18044452568662475,32
6,0.042568181197564434,39
7,0.03923750109604216,45
8,0.018711396586441244,50
9,0.021385576066787725,56
10,0.0028997472180784093,58
11,0.018014705029681454,60
12,0.015627897289085337,64
13,0.0042283373007285414,71
14,0.0008591046777899449,78
15,0.0011820678764818695,84
16,0.004019956876274949,86
17,0.003797779216842524,92
18,0.006368418853420676,96
19,0.0019601824450929156,103
20,0.0009338035369928061,110
21,0.00046487467420217656,117
22,0.0003045004966379309,124
23,0.00018687165044079115,126
24,0.0015059429059247494,128
25,0.0027454846488474825,135
26,0.0030947850288520823,143
27,0.0016046104395962958,151
28,0.00023117082304882487,159
29,0.00017106631292858131,168
30,0.00012725924382563883,176
31,0.00020573021966717271,183
32,0.0006795675881511805,188
33,0.0012074107847906352,195
34,0.0015561387420649946,201
35,0.00011727889191636806,208
36,0.0000735783220095332,216
37,0.00008261298165212028,223
38,0.0001746786997700089,229
39,0.0007187452141604943,232
40,0.00009234446173509215,238
41,0.00003407038416601078,245
42,0.000021754907770123548,251
43,0.0001443572075867626,253
44,0.00026894813961089357,258
45,0.000041098693025776006,265
46,0.000016252556752537163,272
47,0.000007334332099766364,278
48,0.0000062456779003968265,284
49,0.000025822149163372776,287
50,0.000027345125121586818,290
51,0.0000071053952854495444,297
52,0.000002212637893424723,304
53,0.000005196312209646197,309
54,0.000027210608208690275,312
55,0.00003592437196005357,318
56,0.000002289760786436144,325
57,0.0000017788553037806544,332
58,0.000006370403646398906,336
59,0.0000205455473992914,340
60,0.000006502917273768265,346
61,0.0000023727363753466754,353
