Iteration,Error,Func Calls
0,8.158431221748458,3
1,9.179628667513825,12
2,11.84921976966204,19
3,13.842271878603304,27
4,15.168292133110475,35
5,21.839554372461233,42
6,22.570984674758783,53
7,18.120940214892606,61
8,6.3092901246015645,67
9,3.1631545622523234,76
10,0.6725935886644152,84
11,0.2975193101828004,93
12,4.946552798986797,95
13,2.8467996802876887,100
14,0.3047414553143869,107
15,0.14430397990922716,115
16,0.09230657025857224,122
17,0.09029587433838127,129
18,0.10724849205357387,135
19,0.08001207820635295,142
20,0.059094158827733716,149
21,0.044976839308150385,156
22,0.09814953955346595,162
23,0.37947920524677303,166
24,0.2641976181177899,173
25,0.22757268277807602,180
26,0.11094678202042242,187
27,0.15049924123772748,194
28,0.34763731803261294,197
29,0.18001412872381087,205
30,0.038507877820556605,213
31,0.029160918470238894,221
32,0.005671696788761974,227
33,0.043870022247576454,230
34,0.15583930343772442,235
35,0.03721614181048761,242
36,0.0238695736185766,250
37,0.011770716821269954,258
38,0.0016451074630156458,267
39,0.0016032490876223874,275
40,0.014123210135192634,278
41,0.03344121349289519,285
42,0.038329245062361184,292
43,0.010228921038448288,301
44,0.0005376027529456892,310
45,0.000755908948232415,317
46,0.006923042792379258,319
47,0.008872400819943772,323
48,0.007339157776290582,334
49,0.0023998613884451308,344
50,0.001004525376464257,354
51,0.0005247293817353681,364
52,0.0005083064941408243,373
53,0.0007302346050311033,382
54,0.0038510835707579634,387
55,0.006478209705439073,396
56,0.016116441091004314,403
57,0.018493322134163808,412
58,0.007244173707189107,421
59,0.0035574208702903952,431
60,0.0013007251197763904,441
61,0.0005517908057054789,451
62,0.0003263685870047229,461
63,0.0003553247794194081,470
64,0.0005326230603332122,479
65,0.002096712104345549,485
66,0.0036246354907910143,494
67,0.007145502073524379,502
68,0.012141755751047296,509
69,0.00917392482100309,519
70,0.003890938779324503,529
71,0.0014314562183355257,539
72,0.000571746745176114,549
73,0.0002856853407109667,559
74,0.00022367045260453456,569
75,0.00029092568282450997,578
76,0.0006434108774991212,586
77,0.0009044557993156979,596
78,0.0024588162768350453,603
79,0.00641212360545345,610
80,0.00987339968584779,618
81,0.008975400567287767,629
82,0.0039872890472615425,639
83,0.0014507325753206578,649
84,0.0010050393478261645,660
85,0.0002415491229668451,670
86,0.00020525633279413512,681
87,0.00017148495584841375,691
88,0.00024821827485415905,700
89,0.0004242551723055127,709
90,0.0010121882001119622,717
91,0.0014841857724454675,727
92,0.0032699674005949512,735
93,0.006846991802326071,743
94,0.007466712416509452,754
