Iteration,Error,Func Calls
0,4,6
1,5.109060579010593,12
2,7.010719498783631,19
3,3.2197724747944476,24
4,7.086656277716472,31
5,3.1957548735746477,36
6,7.165198031243438,43
7,3.1731316352583154,48
8,7.246334889960597,55
9,3.151910184226115,60
10,7.330057971953448,67
11,3.1320978114573617,72
12,7.4163594338407535,79
13,3.113701615975821,84
14,7.505232516213643,91
15,3.0967284466167095,96
16,7.596671583687462,103
17,3.081184844688264,108
18,7.690672159816715,115
19,3.0670769881260536,120
20,7.787230957148677,127
21,3.0544106377539517,132
22,7.886345902708143,139
23,3.043191086270221,144
24,7.988016159216425,151
25,3.033423110570721,157
26,3.7248287233306043,163
27,4.9561040185672605,169
28,6.992828514730619,176
29,2.83326675983571,181
30,7.079437987668802,188
31,2.8203725550100556,193
32,7.1684003935639895,200
33,2.8088045820140386,205
34,7.259713895884711,212
35,2.798567680852514,217
36,7.3533777958012765,224
37,2.7896662144729865,230
38,3.42687828880135,236
39,4.561188199310496,242
40,6.436988310749151,249
41,2.60530111827315,254
42,6.51678759119549,261
43,2.593516658647963,266
44,6.598750993989994,273
45,2.582952373136703,278
46,6.682876894523741,285
47,2.5736126874635303,290
48,6.769164715651194,297
49,2.5655015861562447,303
50,3.152766686257357,309
51,4.197745730155807,315
52,5.925334570306115,322
53,2.3956817925612515,327
54,5.9988589315251435,334
55,2.3849120301924067,339
56,6.074373759214728,346
57,2.3752648640799707,351
58,6.1518776185726685,358
59,2.3667443408437614,363
60,6.231370039166859,370
61,2.359354099096551,376
62,2.9005861276953353,382
63,3.8632678599146315,388
64,5.454354341360959,395
65,2.202931973121025,400
66,5.522097002906738,407
67,2.1930899662165046,412
68,5.591670413105056,419
69,2.1842807796729233,424
70,5.663073307023096,431
71,2.176508113216577,436
72,5.736305307584905,443
73,2.1697752892814615,449
74,2.668581539625209,455
75,3.5554458467180936,461
76,5.020813990822124,468
77,2.025693753933495,473
78,5.083229420982343,480
79,2.016699978113767,485
80,5.147328701066235,492
81,2.00865642500941,497
82,5.213110718044891,504
83,2.001566476946939,509
84,5.280575176292993,516
85,1.9954331673833134,522
86,2.4551383356073546,528
87,3.2721550094105374,534
88,4.621736993177578,541
89,1.8627185571064397,546
90,4.679243952204269,553
91,1.854500274988367,558
92,4.738299652398172,565
93,1.8471562223315456,570
94,4.798903116453042,577
95,1.840689491067063,582
96,4.8610541195939625,589
97,1.8351028505565443,595
98,2.2587711680522133,601
99,3.0114400509138384,607
100,4.254383485565036,614
101,1.712858328723951,619
102,4.307367830026735,626
103,1.7053490129040254,631
104,4.361776650391839,638
105,1.6986440096936668,643
106,4.417609090509544,650
107,1.6927461453522314,656
108,2.0710727493687786,662
109,2.747280441300194,668
110,3.8687257414953047,675
111,1.5826557898085107,680
112,3.916231448781757,687
113,1.5750574438406226,692
114,3.965048715779121,699
115,1.5681962487679968,704
116,4.015176166428595,711
117,1.5620750400702221,716
118,4.066613052627271,723
119,1.5566964009692972,729
120,1.905375694794895,735
121,2.528339945085193,741
122,3.561187890288959,748
123,1.455292194350776,753
124,3.6049593849126405,760
125,1.4483452634892648,765
126,3.64993717342885,772
127,1.4420765420988557,777
128,3.696120025774053,784
129,1.4364886245106503,789
130,3.7435072901051036,796
131,1.4315838716297569,802
132,1.752938477705641,808
133,2.3268506365533574,814
134,3.278099685964942,821
135,1.3381804099730472,826
136,3.3184303725410973,833
137,1.3318292911746987,838
138,3.3598705378444294,845
139,1.326102152498459,850
140,3.4024190832794674,857
141,1.321001367486149,862
142,3.4460754426674343,869
143,1.3165290936932423,875
144,1.6126997289079592,881
145,2.141421277437776,887
146,3.0175171498530617,894
147,1.2304950624653885,899
148,3.054677389976081,906
149,1.2246888805587093,911
150,3.092858065743622,918
151,1.2194567848519058,923
152,3.1320581968886456,930
153,1.214800946749165,935
154,3.1722772933786016,942
155,1.2107233378177764,948
156,1.4836830560160428,954
157,1.9707715616422437,960
158,2.777650884537819,967
159,1.1314772428797883,972
160,2.8118898056443884,979
161,1.1261694499327635,984
162,2.8470672673255812,991
163,1.1213898381439158,996
164,2.8831823957619394,1003
165,1.1171403938662292,1008
166,2.9202347685218215,1015
167,1.1134229185694138,1021
168,1.3649902382544672,1027
169,1.8137232682662312,1033
170,2.5568537805107687,1040
171,1.0404291541199795,1045
