Iteration,Error,Func Calls
0,898.0066814896201,8
1,98.3635324738339,11
2,245.52156498573274,21
3,68.55705596592287,31
4,23.425082415894263,41
5,7.732589501535624,51
6,2.899670113426338,60
7,4.405778599516643,70
8,1.997707917241267,79
9,2.6941876963642075,88
10,4.023960177437828,98
11,1.9029985382143089,107
12,2.4961777687031006,116
13,3.657205985542314,126
14,1.8231633530297013,134
15,4.949117083740531,144
16,2.122768510033592,153
17,2.93773437428489,162
18,4.453312078724166,172
19,1.9951178977378725,181
20,2.679369780455755,190
21,3.9853213088963284,200
22,1.8897010046358975,209
23,2.4619681863599174,218
24,3.5777105983650412,228
25,1.797632781751503,236
26,4.747920440837917,246
27,2.057072381738019,255
28,2.797000862111691,264
29,4.1876740665487,274
30,1.9290127841382483,283
31,2.537659207760591,292
32,3.70803028615276,302
33,1.8198480558973011,310
34,4.887885069981782,320
35,2.0822008207402707,329
36,2.8397961951284865,338
37,4.252751373101106,348
38,1.937228390628999,357
39,2.5486635717121193,366
40,3.7180616839871017,376
41,1.8169285630784422,384
42,4.855135403098483,394
43,2.066149400736364,403
44,2.801322237339102,412
45,4.171744006879169,422
46,1.9128324333033977,431
47,2.493128692065396,440
48,3.606104979932577,450
49,1.7894251806820902,458
50,4.6532950951931085,468
51,2.0116209857962906,477
52,2.6870120902761094,486
53,3.9547261862355945,496
54,1.860199814343122,505
55,2.3794584028963626,514
56,3.38679277346958,524
57,1.7424682779326524,532
58,4.307109809166943,542
59,1.9277984779709894,551
60,2.51321706222768,560
61,3.6289431234448917,570
62,1.788545388463924,578
63,4.633862000003021,588
64,1.9995696330234403,597
65,2.6536408118962806,606
66,3.873222805131614,616
67,1.8313024315183906,624
68,4.908748903503965,634
69,2.0509507284975257,643
70,2.7490367417550234,652
71,4.039383380159409,662
72,1.864576022220335,671
73,2.3764173666747594,680
74,3.3600312139068547,690
75,1.7282735217803187,698
76,4.176050216736665,708
77,1.8853190007177913,717
78,2.414402669166387,726
79,3.425799830268001,736
80,1.7395830008468216,744
81,4.257213315557483,754
82,1.9017333516926511,763
83,2.444727630942717,772
84,3.4725412718215916,782
85,1.7434087069624487,790
86,4.270978053109891,800
87,1.8964742286035734,809
88,2.429728236626458,818
89,3.441269242956998,828
90,1.7370137299767536,836
91,4.222954215694204,846
92,1.8863038620763786,855
93,2.406488941808746,864
94,3.3906299100540602,874
95,1.7233796372147707,882
96,4.109500243670986,892
97,1.8559525023790222,900
98,5.017925091704128,910
99,2.0416771471668533,919
100,2.7045622003593817,928
101,3.9152300803807134,938
102,1.8177377704689524,946
103,4.765737155342403,956
104,1.9879050125975297,965
105,2.5975445669867905,974
106,3.7163157509366953,984
107,1.7744946033326037,992
108,4.455139730944377,1002
109,1.9140981168458342,1011
110,2.4483614124653,1020
111,3.4465231934850498,1030
112,1.7259087000044138,1038
113,4.1071849815652905,1048
114,1.8454110603594311,1056
115,4.926992685820297,1066
116,2.0089433364150784,1075
117,2.6277612455542667,1084
118,3.7518664721195947,1094
119,1.7730002562586766,1102
120,4.424508433936911,1112
121,1.8968922808819808,1121
122,2.4053801192888713,1130
123,3.3538755461389345,1140
124,1.703801838612835,1148
125,3.924372101369569,1158
126,1.8019699347682918,1166
127,4.61723900607251,1176
128,1.9326290326113937,1185
129,2.47049488253605,1194
130,3.4581559434579376,1204
131,1.7153562958075335,1212
132,3.9938760840184364,1222
133,1.806215602278399,1230
134,4.625568588714834,1240
135,1.922297527131785,1249
136,2.4440293253364564,1258
137,3.4040092851039643,1268
138,1.7046014153169586,1276
139,3.9082333594284075,1286
140,1.788785971376422,1294
141,4.502955141662383,1304
142,1.896448431263587,1313
143,2.3891759753381403,1322
144,3.2955681343655896,1332
145,1.682025670123168,1340
146,3.7216201305875845,1350
147,1.7491895636958772,1358
148,4.210520794961375,1368
149,1.8319676465948023,1376
150,4.7652793361611065,1386
151,1.9322323278412534,1395
152,2.450088379909789,1404
153,3.3925734528716727,1414
154,1.6941413008038178,1422
155,3.8041218878038543,1432
156,1.7594164074322516,1440
157,4.272572363525648,1450
158,1.8389488188372949,1458
159,4.801301606265564,1468
160,1.9345355729933216,1477
161,2.447765526090715,1486
162,3.3737776041179575,1496
163,1.6846178232135438,1504
164,3.7129456046928455,1514
165,1.7358242889868478,1522
166,4.085010480349575,1532
167,1.7951755867151928,1540
168,4.4891324699179895,1550
169,1.862985541855951,1558
170,4.923968399740057,1568
171,1.9393538221498985,1577
172,2.4466843581571296,1586
173,3.3582495795827123,1596
174,1.6782474099032856,1604
175,3.651114017556572,1614
176,1.721316682865456,1622
177,3.9676710883811768,1632
178,1.770222449772728,1640
179,4.307093300558096,1650
180,1.8251243725491537,1658
181,4.668276344232413,1668
182,1.8860611776084772,1677
183,2.3376100456419175,1686
184,3.1518811683849273,1695
185,4.521371883819902,1705
186,1.857077598589604,1713
187,4.862273236051014,1723
188,1.9150843301109737,1732
189,2.38813865379722,1741
190,3.232347877804503,1751
191,1.6506929877771304,1759
192,3.406603772143594,1769
193,1.673621151968258,1777
194,3.581880056173423,1787
195,1.6972926271275643,1795
196,3.756167915861241,1805
197,1.7213740535673407,1813
198,3.9273963684658346,1823
199,1.745494538742433,1831
200,4.0934666286387,1841
201,1.7692556583284842,1849
202,4.252288082005907,1859
203,1.7922428077729209,1867
204,4.401815301234067,1877
205,1.8140373717464138,1885
206,4.540085356642625,1895
207,1.8342291747247312,1903
208,4.665254539463155,1913
209,1.8524287034192082,1921
210,4.775633539119621,1931
211,1.8682786416325579,1939
212,4.869720098726774,1949
213,1.8814643218054763,1957
214,4.946228213405468,1967
215,1.8917227681130582,1975
216,5.004113028242041,1985
217,1.8988500784604494,1994
218,2.3323918912252593,2003
219,3.0974362784992624,2012
220,4.353824039394855,2022
221,1.7919869232672587,2030
222,4.365513980212251,2040
223,1.7918331342543432,2048
224,4.360388370955335,2058
225,1.7891309815311807,2066
226,4.338542038168235,2076
227,1.783945190226863,2084
228,4.3003110842401115,2094
229,1.7763934879184007,2102
230,4.246264705271849,2112
231,1.7666427819505408,2120
232,4.177192524493473,2130
233,1.754903878170164,2138
234,4.09408789478319,2148
235,1.741424915574585,2156
236,3.998127715415376,2166
